created_at,entry_id,field1,field2,field3,field4,field5,status
2026-03-20T17:54:03+00:00,1,226.9,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:54:26+00:00,2,225.4,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:54:50+00:00,3,223.9,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:55:12+00:00,4,225,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:55:33+00:00,5,222.1,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:55:56+00:00,6,218.3,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:56:22+00:00,7,215.8,0,0.4,0,1,0.5 watt bulb reading
2026-03-20T17:57:20+00:00,8,212.6,0,0,0,0,no load connected
2026-03-20T17:58:51+00:00,9,220.7,0,0,0,0,no load connected
2026-03-20T17:59:36+00:00,10,222.3,0.03,7.3,0,0.97,bulb reading 
2026-03-20T18:01:10+00:00,11,221.1,0.03,7.3,0,0.97,bulb reading 
2026-03-20T18:02:14+00:00,12,221.2,0.04,7.3,0,0.94,bulb reading 
2026-03-20T18:02:59+00:00,13,225.1,0,0,0,0,no load connected
2026-03-20T18:03:24+00:00,14,223,0,0,0,0,no load connected
2026-03-21T17:58:32+00:00,15,223.9,0,0,0,0,no load connected
2026-03-21T17:58:54+00:00,16,225.7,0,0,0,0,no load connected
2026-03-21T17:59:44+00:00,17,227.8,0,0,0,0,no load connected
2026-03-21T18:00:10+00:00,18,229.4,0,0,0,0,no load connected
2026-03-21T18:00:54+00:00,19,228.6,0,0,0,0,no load connected
2026-03-21T18:01:15+00:00,20,232.7,0,0,0,0,no load connected
2026-03-21T18:01:39+00:00,21,232.6,0,0,0,0,no load connected
2026-03-21T18:02:21+00:00,22,231,0,0,0,0,no load connected
2026-03-21T18:02:44+00:00,23,231.3,0,0,0,0,no load connected
2026-03-21T18:03:04+00:00,24,231.2,0,0,0,0,no load connected
2026-03-21T18:03:26+00:00,25,232.3,0,0,0,0,no load connected
2026-03-21T18:03:47+00:00,26,231.8,0,0,0,0,no load connected
2026-03-21T18:04:31+00:00,27,232.1,0,0,0,0,no load connected
2026-03-21T18:04:53+00:00,28,232.4,0,0,0,0,no load connected
2026-03-21T18:05:16+00:00,29,234.6,0,0,0,0,no load connected
2026-03-21T18:05:37+00:00,30,233.8,0,0,0,0,no load connected
2026-03-21T18:06:21+00:00,31,232.3,0,0,0,0,no load connected
2026-03-21T18:07:55+00:00,32,232.5,0,0,0,0,no load connected
2026-03-21T18:08:16+00:00,33,230.7,0,0,0,0,no load connected
2026-03-21T18:08:38+00:00,34,233,0,0,0,0,no load connected
2026-03-21T18:08:59+00:00,35,233.1,0,0,0,0,no load connected
2026-03-21T18:09:41+00:00,36,230.1,0,0,0,0,no load connected
2026-03-21T18:10:26+00:00,37,230.4,0,0,0,0,no load connected
2026-03-21T18:18:13+00:00,38,235.9,0,0,0,0,no load connected
2026-03-21T18:18:44+00:00,39,234.1,0.03,7.5,0,0.94,bulb reading 
2026-03-21T18:19:06+00:00,40,235.1,0.03,7.5,0,0.94,bulb reading 
2026-03-21T18:19:29+00:00,41,235.1,0.03,7.5,0,0.94,bulb reading 
2026-03-21T18:20:13+00:00,42,235.8,0.03,7.5,0,0.94,bulb reading 
2026-03-21T18:20:34+00:00,43,235.4,0.03,7.5,0,0.94,bulb reading 
2026-03-21T18:21:41+00:00,44,238,0.03,7.5,0,0.95,bulb reading 
2026-03-21T18:22:03+00:00,45,237.9,0.03,7.5,0,0.96,bulb reading 
2026-03-21T18:23:30+00:00,46,237.8,0.03,7.5,0,0.93,bulb reading 
2026-03-21T18:23:50+00:00,47,235.8,0.03,7.5,0,0.94,bulb reading 
2026-03-21T18:27:17+00:00,48,231.9,0,0,0,0,no load connected
2026-03-21T18:27:38+00:00,49,233.2,0,0,0,0,no load connected
2026-03-21T18:29:23+00:00,50,235,0,0,0,0,no load connected
2026-03-21T18:29:47+00:00,51,232,0,0,0,0,no load connected
2026-03-21T18:30:08+00:00,52,231.6,0,0,0,0,no load connected
2026-03-21T18:31:13+00:00,53,225.1,0,0,0,0,no load connected
2026-03-21T18:31:35+00:00,54,226.2,0,0,0,0,no load connected
2026-03-21T18:31:57+00:00,55,228.5,0,0,0,0,no load connected
2026-03-21T18:32:39+00:00,56,228.1,0,0,0,0,no load connected
